Created on 01-28-2021,https://www.CryptoDataDownload.com,,,,,,
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume
1580184000000,1/28/2020 4:00,ETHUSD,172.8,177.45,169.96,176.4,12044.60510651
1580270400000,1/29/2020 4:00,ETHUSD,176.4,178.49,170.54,172.98,12934.40792031
1580356800000,1/30/2020 4:00,ETHUSD,172.98,186.88,172.98,183.01,25732.16735863
1580443200000,1/31/2020 4:00,ETHUSD,183.01,184.05,175.33,182.65,12905.52691351
1580529600000,2/1/2020 4:00,ETHUSD,182.65,183.93,179.84,180.34,4269.53800477
1580616000000,2/2/2020 4:00,ETHUSD,180.34,196,178.82,191.42,20849.81248195
1580702400000,2/3/2020 4:00,ETHUSD,191.42,191.97,186.56,187.58,10351.8724231
1580788800000,2/4/2020 4:00,ETHUSD,187.58,189.67,183.97,189.05,7921.54920344
1580875200000,2/5/2020 4:00,ETHUSD,189.05,207.99,188.56,206.26,20471.12193723
1580961600000,2/6/2020 4:00,ETHUSD,206.26,220,206.26,217.06,693.47551685
1581048000000,2/7/2020 4:00,ETHUSD,217.06,224.29,213.49,217.56,17912.89269361
1581134400000,2/8/2020 4:00,ETHUSD,217.56,229.34,217.3,228.86,13407.44814631
1581220800000,2/9/2020 4:00,ETHUSD,228.86,230.99,223.8,225.41,14951.33449894
1581307200000,2/10/2020 4:00,ETHUSD,225.41,225.47,217.09,218.8,20898.8086895
1581393600000,2/11/2020 4:00,ETHUSD,218.8,248.1,218.13,245.15,34629.54499087
1581480000000,2/12/2020 4:00,ETHUSD,245.15,276,245.15,269.9,54792.67929797
1581566400000,2/13/2020 4:00,ETHUSD,269.9,278.34,256.42,266.6,33197.99657852
1581652800000,2/14/2020 4:00,ETHUSD,266.6,289.58,260.36,282.62,23004.33499486
1581739200000,2/15/2020 4:00,ETHUSD,282.62,286.12,258.15,271.17,16958.72784316
1581825600000,2/16/2020 4:00,ETHUSD,271.17,273.96,236.56,249.76,44157.60835211
1581912000000,2/17/2020 4:00,ETHUSD,249.76,272.27,242.58,268.9,16926.53346332
1581998400000,2/18/2020 4:00,ETHUSD,268.9,286.54,259.39,280.29,23325.78966108
1582084800000,2/19/2020 4:00,ETHUSD,280.29,287.41,251.07,260.87,30243.64909844
1582171200000,2/20/2020 4:00,ETHUSD,260.87,266.05,258.78,262.66,1301.33154205
1582257600000,2/21/2020 4:00,ETHUSD,262.66,268.57,257.82,263.02,8108.28692619
1582344000000,2/22/2020 4:00,ETHUSD,263.02,266.51,256.8,265.74,6435.8764876
1582430400000,2/23/2020 4:00,ETHUSD,265.74,278,265.69,268.54,16034.12388112
1582516800000,2/24/2020 4:00,ETHUSD,268.54,272.67,256.64,261.9,16473.0108532
1582603200000,2/25/2020 4:00,ETHUSD,261.9,264.96,235.81,238.72,32573.21641046
1582689600000,2/26/2020 4:00,ETHUSD,238.72,241.97,209.77,218.53,36981.53125818
1582776000000,2/27/2020 4:00,ETHUSD,218.53,238.27,216.88,230.08,21979.33393222
1582862400000,2/28/2020 4:00,ETHUSD,230.08,232.45,213,230.58,17193.2972114
1582948800000,2/29/2020 4:00,ETHUSD,230.58,233.36,216.25,223.69,9666.97284723
1583035200000,3/1/2020 4:00,ETHUSD,223.69,227.77,212.16,218.82,15374.80336462
1583121600000,3/2/2020 4:00,ETHUSD,218.82,234.93,218.7,231.97,32037.31030061
1583208000000,3/3/2020 4:00,ETHUSD,231.97,232.82,219.93,226.38,40957.27898952
1583294400000,3/4/2020 4:00,ETHUSD,226.38,228.64,220.38,226.8,22701.59791072
1583380800000,3/5/2020 4:00,ETHUSD,226.8,231.14,226.8,229.67,314.380046
1583467200000,3/6/2020 4:00,ETHUSD,229.67,247.02,229.17,244.46,12755.08090818
1583553600000,3/7/2020 4:00,ETHUSD,244.46,252.16,229.64,231.69,9557.82167433
1583640000000,3/8/2020 4:00,ETHUSD,231.69,233.11,196.1,201.83,33947.19361818
1583726400000,3/9/2020 4:00,ETHUSD,201.83,208.5,189.97,202.63,43594.7121468
1583812800000,3/10/2020 4:00,ETHUSD,202.63,206.28,195.72,201.84,30844.39985731
1583899200000,3/11/2020 4:00,ETHUSD,201.84,202.24,181.63,183.11,41583.9435919
1583985600000,3/12/2020 4:00,ETHUSD,183.11,183.11,119.63,135.47,14267.58583914
1584072000000,3/13/2020 4:00,ETHUSD,135.47,138.99,130.56,134.39,5201.79979296
1584158400000,3/14/2020 4:00,ETHUSD,134.39,134.39,120.5,121.05,34772.10536722
1584244800000,3/15/2020 4:00,ETHUSD,121.05,133.9,119.49,122,47973.97828407
1584331200000,3/16/2020 4:00,ETHUSD,122,122.03,100.7,117.69,140738.27369292
1584417600000,3/17/2020 4:00,ETHUSD,117.69,120.44,113,117.77,25545.87802133
1584504000000,3/18/2020 4:00,ETHUSD,117.77,120.44,110.31,116.33,31907.20878712
1584590400000,3/19/2020 4:00,ETHUSD,116.33,143.5,116.07,135.15,52647.58083254
1584676800000,3/20/2020 4:00,ETHUSD,135.15,153.17,115,134.24,98750.50487556
1584763200000,3/21/2020 4:00,ETHUSD,134.24,137.67,125.79,135.95,40747.8111329
1584849600000,3/22/2020 4:00,ETHUSD,135.95,137.35,119.17,125.14,43244.51349184
1584936000000,3/23/2020 4:00,ETHUSD,125.14,138.38,120.75,134.71,59761.83772428
1585022400000,3/24/2020 4:00,ETHUSD,134.71,144.14,133.17,136.25,66472.06892176
1585108800000,3/25/2020 4:00,ETHUSD,136.25,142.88,132.87,137.67,31627.35023354
1585195200000,3/26/2020 4:00,ETHUSD,137.67,142.38,137.5,139.77,2154.51127074
1585281600000,3/27/2020 4:00,ETHUSD,139.77,139.77,124.7,126.29,5249.383099
1585368000000,3/28/2020 4:00,ETHUSD,126.29,133.45,125.38,130.44,11951.37828683
1585454400000,3/29/2020 4:00,ETHUSD,130.44,130.44,123.87,126.97,12208.2866767
1585540800000,3/30/2020 4:00,ETHUSD,126.97,135.56,126.85,132.51,32555.22402709
1585627200000,3/31/2020 4:00,ETHUSD,132.51,135.4,130.77,132.92,12367.87540681
1585713600000,4/1/2020 4:00,ETHUSD,132.92,139.17,128.93,136.6,19937.97196608
1585800000000,4/2/2020 4:00,ETHUSD,136.6,150.32,135.99,141.72,30844.53954199
1585886400000,4/3/2020 4:00,ETHUSD,141.72,146.87,137.85,140.18,34677.11250961
1585972800000,4/4/2020 4:00,ETHUSD,140.18,146.5,139.5,144.27,11050.80696882
1586059200000,4/5/2020 4:00,ETHUSD,144.27,145.06,141,144.21,9287.56426119
1586145600000,4/6/2020 4:00,ETHUSD,144.21,176.74,144.21,171.24,68128.83157232
1586232000000,4/7/2020 4:00,ETHUSD,171.24,175.7,162.34,172.21,39818.73022471
1586318400000,4/8/2020 4:00,ETHUSD,172.21,174.81,166.14,170.44,16298.84579225
1586404800000,4/9/2020 4:00,ETHUSD,170.44,171.15,163,163.71,4204.38605619
1586491200000,4/10/2020 4:00,ETHUSD,163.71,164.18,152.46,160.38,35924.97080614
1586577600000,4/11/2020 4:00,ETHUSD,160.38,161.49,154.25,156.25,9950.3154613
1586664000000,4/12/2020 4:00,ETHUSD,156.25,165.37,150.12,152.59,17653.14866542
1586750400000,4/13/2020 4:00,ETHUSD,152.59,159.51,150.99,158.32,13246.02950118
1586836800000,4/14/2020 4:00,ETHUSD,158.32,162.15,155.74,160.62,19628.10716219
1586923200000,4/15/2020 4:00,ETHUSD,160.62,161.52,148.5,153.26,16456.70413369
1587009600000,4/16/2020 4:00,ETHUSD,153.26,175.03,152.64,171.74,37096.81207385
1587096000000,4/17/2020 4:00,ETHUSD,171.74,175,168.67,173.36,14668.40701199
1587182400000,4/18/2020 4:00,ETHUSD,173.36,190.06,171.99,187.85,22877.01844876
1587268800000,4/19/2020 4:00,ETHUSD,187.85,189.08,176.9,184.34,12339.27449198
1587355200000,4/20/2020 4:00,ETHUSD,184.34,186.84,166.88,172.06,32058.80339676
1587441600000,4/21/2020 4:00,ETHUSD,172.06,174.73,168.53,171.83,21530.82758116
1587528000000,4/22/2020 4:00,ETHUSD,171.83,187.45,171.35,183.37,25231.83967119
1587614400000,4/23/2020 4:00,ETHUSD,183.37,191,183.37,188.41,7657.15218924
1587700800000,4/24/2020 4:00,ETHUSD,188.41,189.99,184.57,188.45,9664.30328452
1587787200000,4/25/2020 4:00,ETHUSD,188.45,198,187.74,195.03,10887.29480422
1587873600000,4/26/2020 4:00,ETHUSD,195.03,200,192.59,197.64,11378.00803916
1587960000000,4/27/2020 4:00,ETHUSD,197.64,197.98,189.57,194.51,16220.73970572
1588046400000,4/28/2020 4:00,ETHUSD,194.51,199.92,192.71,198.4,10715.43498053
1588132800000,4/29/2020 4:00,ETHUSD,198.4,226.54,197.88,225.98,32151.32279824
1588219200000,4/30/2020 4:00,ETHUSD,225.98,227.54,202.5,208.78,40093.08725281
1588305600000,5/1/2020 4:00,ETHUSD,208.78,217.22,208.46,213.4,12634.2569442
1588392000000,5/2/2020 4:00,ETHUSD,213.4,219.09,210.75,218.25,6983.7816503
1588478400000,5/3/2020 4:00,ETHUSD,218.25,218.64,202.4,203.98,11529.27837433
1588564800000,5/4/2020 4:00,ETHUSD,203.98,209.28,195.33,206.49,16311.27012632
1588651200000,5/5/2020 4:00,ETHUSD,206.49,212.08,201.63,206.83,9264.15714986
1588737600000,5/6/2020 4:00,ETHUSD,206.83,211.34,197,205.31,16353.93382211
1588824000000,5/7/2020 4:00,ETHUSD,205.31,217.03,203.23,213.16,18966.47533746
1588910400000,5/8/2020 4:00,ETHUSD,213.16,215.25,207.41,213.98,10693.71412826
1588996800000,5/9/2020 4:00,ETHUSD,213.98,214.39,178.51,186.14,24966.69699193
1589083200000,5/10/2020 4:00,ETHUSD,186.14,193.69,180,189.06,15388.53985711
1589169600000,5/11/2020 4:00,ETHUSD,189.06,193.47,176.26,188.86,25940.2606213
1589256000000,5/12/2020 4:00,ETHUSD,188.86,192.45,187.05,190.79,19579.21991632
1589342400000,5/13/2020 4:00,ETHUSD,190.79,201.41,188.37,199.25,17214.94286346
1589428800000,5/14/2020 4:00,ETHUSD,199.25,203.23,197.61,199.44,4361.90795166
1589515200000,5/15/2020 4:00,ETHUSD,199.44,201.94,191.49,198.88,22740.84517699
1589601600000,5/16/2020 4:00,ETHUSD,198.88,203.24,197.61,201.53,10853.72849308
1589688000000,5/17/2020 4:00,ETHUSD,201.53,216.05,200.57,215.14,16312.03374622
1589774400000,5/18/2020 4:00,ETHUSD,215.14,216.92,208.95,210.18,22178.06468073
1589860800000,5/19/2020 4:00,ETHUSD,210.18,215.8,209.36,212.76,12479.59658169
1589947200000,5/20/2020 4:00,ETHUSD,212.76,215.64,206,208.9,10736.93400878
1590033600000,5/21/2020 4:00,ETHUSD,208.9,209.83,191.5,196.84,18791.19991402
1590120000000,5/22/2020 4:00,ETHUSD,196.84,211.36,196.51,209.86,10328.40451623
1590206400000,5/23/2020 4:00,ETHUSD,209.86,210.51,204.9,209.23,3777.77932087
1590292800000,5/24/2020 4:00,ETHUSD,209.23,210.86,198,202.38,11806.73213375
1590379200000,5/25/2020 4:00,ETHUSD,202.38,205.74,201.59,204.96,6663.29003095
1590465600000,5/26/2020 4:00,ETHUSD,204.96,204.96,196.81,201.82,13642.56393104
1590552000000,5/27/2020 4:00,ETHUSD,201.82,208.98,201.39,206.42,9707.56807445
1590638400000,5/28/2020 4:00,ETHUSD,206.42,224.75,206.42,221.95,4005.16061086
